layer,math,logic,physics,history,geography,literature
0,0.011125189282734324,0.011803434265547615,0.012877275226437479,0.014308792984075698,0.01406490154568918,0.015340828233954747
1,0.014926295621001886,0.014858091876983304,0.016378736580142952,0.017770597738287562,0.016819882260824176,0.01787391489967269
2,0.01674959053122779,0.01708235712802871,0.019446132476777494,0.01944380336948996,0.01896586723892933,0.02003700014230824
3,0.017800302852374918,0.018861769328865033,0.020603640362299967,0.020770828525271175,0.020589855871008905,0.021573929130496657
4,0.017862109459501223,0.018980396808920788,0.020314263390919348,0.0210016155088853,0.020357857494997536,0.021232389355343675
5,0.018665595352143145,0.019692161689255316,0.020198512602367102,0.021117009000692362,0.0209958530290288,0.021687775722214316
6,0.02441360981488921,0.026691183012544854,0.027548687675434787,0.02705977382875606,0.028477800655395416,0.028973957592144585
7,0.021199666244321517,0.022776476170704944,0.022513528373412042,0.0226748211400877,0.02314183800713395,0.023850860964849865
8,0.020581600173058497,0.022420593730537678,0.022050525219203053,0.02209785368105239,0.02250384247310269,0.023281628006261566
9,0.021817732315584537,0.02360686853109523,0.022687154556240412,0.022501730902377105,0.02314183800713395,0.023793937668991037
10,0.022868444636731666,0.024911770811708533,0.02430766559597187,0.024001846295868913,0.024997825015224896,0.025330866657179454
11,0.022559411601100157,0.023428927311011597,0.022339902190583672,0.022501730902377105,0.022851840037119743,0.023110858118685074
12,0.02441360981488921,0.02479314333165278,0.023555285470382267,0.02382875605815832,0.024185830699185108,0.024363170627579336
13,0.028060199635341017,0.028174026513241794,0.02662268136701681,0.026367412877913686,0.026969811211321526,0.02681087234950904
14,0.038320096418307116,0.04199412793973724,0.040744277570390945,0.03934918070620817,0.04210770524606328,0.04200939234381671
15,0.041286813560369603,0.04140099053945847,0.038545012587898254,0.03888760673897992,0.03955572310993824,0.03961861391774584
16,0.04857999320127322,0.04970491414336131,0.047573574094973516,0.04858066005077314,0.04709567033030769,0.047587875337982075
17,0.05463704069965079,0.05563628814614906,0.054981624562317324,0.05492730210016155,0.052779630542586206,0.0544186708410417
18,0.0616829939120492,0.06216079954921558,0.06273692739531787,0.06254327255942765,0.061711568019023874,0.06170485271097197
19,0.07021230569547884,0.0697529582727839,0.06829296524582573,0.06785137318255251,0.0665835339152626,0.06739718229685498
20,0.07985413640718193,0.07781962691657524,0.07801603148421447,0.0791599353796446,0.07655946408375143,0.07650490963426783
21,0.09221545783244228,0.08612355052047807,0.08750759614549873,0.08816062774059542,0.08723138938027435,0.08515725060481003
22,0.10482400568620785,0.096325513805273,0.10116618919466389,0.10246942072467113,0.10254328219702463,0.09813576206062331
23,0.12534379925214006,0.12100002965687003,0.11899181063170992,0.11262404800369259,0.1157671896296726,0.11020350078269534
