Profile,Description,N_Retained,N_Pruned,Compressed_Params,PRR,Speedup,DCR_Params
P1,Zh+En STEM+Agent,14,10,85000000,0.8870,8.85,80128
P2,E.Asian+STEM,14,10,92000000,0.8777,8.18,80320
P3,En Math Specialist,10,14,65000000,0.9136,11.58,80320
P4,Zh Full-Capability,18,6,132000000,0.8246,5.70,80320
P5,Multi.STEM Agent,14,10,88000000,0.8830,8.55,80064
P6,Bilingual Dev Agent,16,8,110000000,0.8538,6.84,80128
P7,Multi.Math Solver,10,14,68000000,0.9096,11.06,80064
P8,Quad-Lingual Translator,16,8,105000000,0.8604,7.17,80064
P9,Universal FC Caller,14,10,90000000,0.8804,8.36,80064
P10,Bilingual Full-Cap,18,6,128000000,0.8299,5.88,80320
P11,Universal STEM,16,8,102000000,0.8644,7.38,80320
P12,Full Targeted,14,10,88000000,0.8830,8.55,80192
